"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 17 20:15:19 GMT 2024","Fri May 17 20:15:19 GMT 2024","132","Authorization","","","","","Cannot login with empty username",""
"passed","Fri May 17 20:15:38 GMT 2024","Fri May 17 20:15:39 GMT 2024","1330","User registration","","","","","Must register a new user successfully",""
"passed","Fri May 17 20:15:31 GMT 2024","Fri May 17 20:15:31 GMT 2024","131","Manage books","","","","","Didn't add a book to the favorites list with an incorrect user ID.",""
"passed","Fri May 17 20:15:31 GMT 2024","Fri May 17 20:15:31 GMT 2024","199","Manage books","","","","","Don't add a book that doesn't exist",""
"passed","Fri May 17 20:15:17 GMT 2024","Fri May 17 20:15:17 GMT 2024","513","Authorization","","","","","Log in successfully",""
"passed","Fri May 17 20:15:39 GMT 2024","Fri May 17 20:15:40 GMT 2024","126","User registration","","","","","Do not register a user with a password that does not contain special characters",""
"passed","Fri May 17 20:15:29 GMT 2024","Fri May 17 20:15:30 GMT 2024","165","Manage books","","","","","Check information of a book",""
"passed","Fri May 17 20:15:40 GMT 2024","Fri May 17 20:15:40 GMT 2024","312","User registration","","","","","Does not create an account with the same data as an existing account",""
"passed","Fri May 17 20:15:19 GMT 2024","Fri May 17 20:15:20 GMT 2024","149","Authorization","","","","","Cannot login with empty username and password",""
"passed","Fri May 17 20:15:17 GMT 2024","Fri May 17 20:15:18 GMT 2024","487","Authorization","","","","","Cannot login with invalid username",""
"passed","Fri May 17 20:15:31 GMT 2024","Fri May 17 20:15:31 GMT 2024","184","Manage books","","","","","Do not add a book to the favorites list without authorization",""
"passed","Fri May 17 20:15:18 GMT 2024","Fri May 17 20:15:18 GMT 2024","513","Authorization","","","","","Cannot login with invalid password",""
"passed","Fri May 17 20:15:40 GMT 2024","Fri May 17 20:15:40 GMT 2024","129","User registration","","","","","Does not register with a blank password and username",""
"passed","Fri May 17 20:15:05 GMT 2024","Fri May 17 20:15:06 GMT 2024","1388","Finalize account","","","","","Do not delete a user without authorization",""
"passed","Fri May 17 20:15:07 GMT 2024","Fri May 17 20:15:07 GMT 2024","796","Finalize account","","","","","Does not delete a user that does not exist",""
"passed","Fri May 17 20:15:19 GMT 2024","Fri May 17 20:15:19 GMT 2024","147","Authorization","","","","","Cannot login with empty password",""
"passed","Fri May 17 20:15:40 GMT 2024","Fri May 17 20:15:40 GMT 2024","145","User registration","","","","","Does not register with a blank username",""
"passed","Fri May 17 20:15:18 GMT 2024","Fri May 17 20:15:19 GMT 2024","517","Authorization","","","","","Cannot login with invalid username and password",""
"passed","Fri May 17 20:15:30 GMT 2024","Fri May 17 20:15:31 GMT 2024","829","Manage books","","","","","Add and remove a book from the favorites list",""
"passed","Fri May 17 20:15:03 GMT 2024","Fri May 17 20:15:05 GMT 2024","1842","Finalize account","","","","","Deletes a user",""
